"col_names","des"
"name4","FL_316 - Block Randomizer - Display Order"
"voice4","FL_257 - Block Randomizer - Display Order"
"mc_race_q_do","MC race - Display Order"
"race_name_q_do","MC race2 - Display Order"
"idvoice1","What was the identification number of the participant stated in the recording? Type in the four-digit (formatted like the following: 4791) identification number below."
"idvoice2","What was the identification number of the participant stated in the recording? Type in the four-digit (formatted like the following: 4791) identification number below."
"idvoice3","What was the identification number of the participant stated in the recording? Type in the four-digit (formatted like the following: 4791) identification number below."
"idvoice4","What was the identification number of the participant stated in the recording? Type in the four-digit (formatted like the following: 4791) identification number below."
"trust1","The person in the recording sounds... - Trustworthy"
"trust2","The person in the recording sounds... - Trustworthy"
"trust3","The person in the recording sounds... - Trustworthy"
"trust4","The person in the recording sounds... - Trustworthy"
"dom1","The person in the recording sounds... - Dominant"
"dom2","The person in the recording sounds... - Dominant"
"dom3","The person in the recording sounds... - Dominant"
"dom4","The person in the recording sounds... - Dominant"
"threat1","The person in the recording sounds... - Threatening"
"threat2","The person in the recording sounds... - Threatening"
"threat3","The person in the recording sounds... - Threatening"
"threat4","The person in the recording sounds... - Threatening"
"intell1","The person in the recording sounds... - Intelligent"
"intell2","The person in the recording sounds... - Intelligent"
"intell3","The person in the recording sounds... - Intelligent"
"intell4","The person in the recording sounds... - Intelligent"
"comm1","The person in the recording sounds... - Like they are an effective communicator"
"comm2","The person in the recording sounds... - Like they are an effective communicator"
"comm3","The person in the recording sounds... - Like they are an effective communicator"
"comm4","The person in the recording sounds... - Like they are an effective communicator"
"prob1","The person in the recording sounds... - Like they are a problem-solver"
"prob2","The person in the recording sounds... - Like they are a problem-solver"
"prob3","The person in the recording sounds... - Like they are a problem-solver"
"prob4","The person in the recording sounds... - Like they are a problem-solver"
"conf1","The person in the recording sounds... - Confident"
"conf2","The person in the recording sounds... - Confident"
"conf3","The person in the recording sounds... - Confident"
"conf4","The person in the recording sounds... - Confident"
"trait_do1","The person in the recording sounds... - Display Order"
"trait_do2","The person in the recording sounds... - Display Order"
"trait_do3","The person in the recording sounds... - Display Order"
"trait_do4","The person in the recording sounds... - Display Order"
"team1","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your work project team member?"
"team2","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your work project team member?"
"team3","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your work project team member?"
"team4","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your work project team member?"
"frnd1","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your close friend?"
"frnd2","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your close friend?"
"frnd3","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your close friend?"
"frnd4","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your close friend?"
"neighbr1","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your neighbor?"
"neighbr2","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your neighbor?"
"neighbr3","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your neighbor?"
"neighbr4","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your neighbor?"
"employee1","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your employee?"
"employee2","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your employee?"
"employee3","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your employee?"
"employee4","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your employee?"
"boss1","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your boss?"
"boss2","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your boss?"
"boss3","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your boss?"
"boss4","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - your boss?"
"role_do1","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - Display Order"
"role_do2","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - Display Order"
"role_do3","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - Display Order"
"role_do4","Please indicate your agreement with the questions below:

How much would you like the person in the recording to be (in the following roles)... - Display Order"
"thoughts1","Do you have any other thoughts about this person's voice?"
"thoughts2","Do you have any other thoughts about this person's voice?"
"thoughts3","Do you have any other thoughts about this person's voice?"
"thoughts4","Do you have any other thoughts about this person's voice?"
"leadership_1","leadership composite for condition with Black name and high pitched voice"
"leadership_2","leadership composite for condition with Black name and low pitched voice"
"leadership_3","leadership composite for condition with White name and high pitched voice"
"leadership_4","leadership composite for condition with White name and low pitched voice"
"trust_rev1","reverse-scored trustworthiness ratings for condition with Black name and high pitched voice"
"trust_rev2","reverse-scored trustworthiness ratings for condition with Black name and low pitched voice"
"trust_rev3","reverse-scored trustworthiness ratings for condition with White name and high pitched voice"
"trust_rev4","reverse-scored trustworthiness ratings for condition with White name and low pitched voice"
"threatpotential_1","threat potential for condition with Black name and high pitched voice"
"threatpotential_2","threat potential for condition with Black name and low pitched voice"
"threatpotential_3","threat potential for condition with White name and high pitched voice"
"threatpotential_4","threat potential for condition with White name and low pitched voice"
